time,width,height,weight,hp,strength,powers,protection
01:01,55,179,401,890,9156,2212.192404319818,475.8636463456861
01:02,86,147,1012,370,3792,3580.28271936096,2416.5632676458144
01:03,92,113,8562,79,1389,3333.9779853237396,3221.999292218419
01:04,25,101,929,549,6019,1737.2111498636482,490.6871311789597
01:05,54,195,5753,823,8281,4997.640736529247,1357.8390505196396
01:06,59,138,596,302,3315,2985.786417388288,388.3364155896728
01:07,71,169,8828,651,7275,12434.232959505476,6606.310061351162
01:08,47,154,477,163,2146,2062.022935074727,1209.00663850238
01:09,52,103,331,401,4323,3436.3713271408496,939.0755219667715
01:10,58,223,9649,861,8676,12546.886848370954,5017.066821187329
01:11,32,225,4585,805,8956,9537.68470491852,9272.145106135473
01:12,86,126,10553,679,6929,14944.814982569951,3130.903543769403
01:13,81,91,4157,425,4360,4805.65547690542,587.7465628586825
01:14,82,182,5164,551,5968,4597.960875193374,1892.8792802255928
01:15,81,110,7313,406,4299,8607.359149886996,3558.3533180127542
01:16,89,106,4114,92,1583,3482.064572839503,2172.168273767517
01:17,88,133,5791,458,4643,7897.621906603656,7161.551840069734
01:18,62,90,1523,649,7231,4713.434066431837,2498.1036233857058
01:19,31,177,2351,20,1090,1061.6103901182282,917.0193006503249
01:20,40,243,3181,976,10276,5877.405988154907,782.2652678761846
01:21,76,82,1178,458,5314,5379.863516525079,4110.021136637207
01:22,83,210,7017,49,1440,4085.543505261388,3815.3482715491473
01:23,22,173,304,381,4509,2554.9503076546484,2153.4649855710095
01:24,71,96,1438,841,9224,9951.830943599582,8596.962242447778
01:25,87,97,4079,250,3444,5771.628381259164,1031.0451425886831
01:26,39,162,4094,901,9114,8544.286848385756,4268.348359242606
01:27,38,81,665,274,3647,1462.5229734748862,662.4039383462037
01:28,79,227,1834,796,7994,3207.5632397984364,1435.963540144202
01:29,26,120,679,774,8615,8992.793369584875,7797.804499822463
01:30,76,203,10776,691,7450,10999.521169585985,248.91644807095994
01:31,61,148,4046,142,1472,1354.9818022644022,272.40935091799884
01:32,35,119,3456,686,7572,3139.921894409181,2361.743353565221
01:33,47,104,330,987,10563,10995.28783932882,2714.475082554802
01:34,29,120,2295,122,2131,1232.628071059693,705.7240408546714
01:35,88,213,2907,38,950,3361.012749202442,272.8257390481526
01:36,28,124,469,519,6001,3446.2861018225585,848.6886265907133
01:37,45,241,8333,163,2132,1244.2199871380105,367.3777539078064
01:38,57,84,1841,719,7766,1815.752432410585,1405.2600018432415
01:39,74,167,792,834,8829,4404.100509309177,4121.601641513979
01:40,34,226,3672,314,3548,4904.558990889701,138.35149428262383
01:41,56,178,2655,569,6423,4099.648928172544,2261.906069602803
01:42,98,196,7679,370,4425,6940.248967562402,538.3666065102402
01:43,46,196,750,575,6136,5499.3903613749135,2363.405234659206
01:44,30,245,5654,977,10008,9069.599936697636,3826.6064033745406
01:45,91,244,10935,966,9951,13559.789886800187,4260.843487434106
01:46,27,185,4967,783,8028,10613.679591336408,2911.4967222045157
01:47,75,244,14223,150,2222,11169.228959823322,4272.84827409642
01:48,35,128,2297,493,5853,6232.264905523103,5393.05135860985
01:49,83,124,4709,175,2720,2526.294495716285,1663.5577191142534
01:50,59,80,2071,594,6529,6203.798525275401,981.3326852605043
01:51,76,80,3058,414,4980,5138.69103512455,229.52322327301567
01:52,37,249,4695,264,3620,2643.412052969546,1703.7881325855512
01:53,57,110,320,415,4658,1691.4868235950607,1141.28931413485
01:54,44,96,1898,163,2568,2369.9310180042276,2028.4049236182475
01:55,63,88,4993,721,7405,10111.690269772593,2662.678701294162
01:56,77,151,4395,146,2111,3703.576925984149,2343.251581386861
01:57,42,93,2695,280,3314,2340.7215363929613,456.75050830660325
01:58,73,111,4753,621,7103,2530.836252535236,1051.2941936571103
01:59,57,245,11533,29,312,340.01004716407635,82.00513307882385
02:00,82,208,13759,697,7565,13553.426918618974,9627.075899570347
02:01,41,126,3336,294,3331,3842.183285496875,2.087946706888945
02:02,55,226,6366,471,5654,9761.514403068759,9258.231644008
02:03,53,105,2762,254,3254,3093.5143477933448,1160.2033679648096
02:04,21,129,1051,295,3334,3004.7857740231616,1612.0570802286245
02:05,23,80,216,953,10077,1153.4147463143681,111.96747462177976
02:06,20,139,365,472,5436,5316.431127324917,3757.563757909027
02:07,92,120,5559,987,10109,5546.458627124818,2511.372035464815
02:08,43,96,197,62,950,480.800769719625,442.693231808063
02:09,34,99,421,527,5556,2085.1675472648976,2083.62743899045
02:10,39,164,4772,901,9930,13068.568467135228,9762.26232556168
02:11,74,163,11206,949,9964,9694.064394039895,6998.517824299958
02:12,52,148,3771,157,2236,3716.0825983569607,234.87069326162504
02:13,22,207,3395,275,3041,2089.706440454559,1441.6586201276493
02:14,62,105,995,74,1172,1242.5950528855565,817.0327705271392
02:15,76,154,10453,465,5026,9858.815521124901,8421.099336789217
02:16,91,238,9968,355,3551,9033.551831134799,3399.396773493805
02:17,39,222,7356,179,2765,6657.326958661116,5881.166070951846
02:18,97,242,10954,454,5533,10093.47938493974,3059.572529960564
02:19,51,205,6959,167,2176,2797.1758171875945,2491.2237559619907
02:20,96,138,1248,566,6424,5973.550550635036,5133.363844679187
02:21,89,154,10013,483,5632,12805.84602408929,10394.006906894918
02:22,24,88,1430,848,9213,2762.65268621268,171.79323709695646
02:23,43,134,3102,847,9446,2070.0315378006057,1321.672103731824
02:24,34,199,4323,336,4040,4975.619344103633,790.2304030390333
02:25,67,246,14270,860,8936,9694.72848522558,7897.946630417677
02:26,78,109,7240,929,10247,15190.056409841882,1293.1778698260584
02:27,60,196,1948,641,6988,6225.520309153095,4181.130832882421
02:28,78,115,1329,198,2401,2975.25557815497,2507.8202984851914
02:29,21,186,3252,776,8379,5965.6915481944,508.6192609801445
02:30,32,208,605,919,9233,5702.3858758940105,471.6353189046858
02:31,40,220,7204,607,6660,7045.047041314801,4108.171543617572
02:32,99,221,18906,273,2888,17521.62997699689,8045.0474974782055
02:33,84,100,4683,908,9730,4847.7816839200095,2963.4607950010172
02:34,53,149,4987,353,3927,7361.767389555374,6498.533476174474
02:35,59,104,620,572,6245,5010.932734210773,447.7890020735708
02:36,28,248,321,725,8230,5094.330113417377,2325.7243730455293
02:37,96,100,2955,665,6867,2695.739866947586,588.2333743752822
02:38,96,212,3479,821,8344,6725.704224105959,5062.855775544006
02:39,34,96,3207,30,1227,2955.510356557181,2147.5024459766973
02:40,33,122,2997,491,5026,2591.3172821443322,1101.3135211018525
02:41,20,216,916,863,9101,5088.18657626579,2254.5368992378603
02:42,24,215,4033,611,7073,8895.605568025578,210.73748634880727
02:43,82,162,5130,530,5474,9342.475015913733,8361.322216127162
02:44,91,175,14050,102,1818,14301.533201287793,8434.975240917913
02:45,94,131,3797,518,5930,4887.324821006279,4073.2414317725184
02:46,77,168,2663,140,1752,2800.8497310164116,1477.896354536933
02:47,49,158,7319,420,4443,7126.701568263787,4617.240687101483
02:48,52,122,577,852,8587,7295.1029430827575,2507.2717095550724
02:49,32,250,5921,236,3006,7724.852946218109,4218.6547537237875
02:50,46,124,1748,934,9990,6395.924245213515,125.90973866574457
02:51,88,135,1112,387,4374,4409.173709724225,3865.8253173112416
02:52,68,95,5688,497,5566,5651.11184254111,3023.3654925986184
02:53,100,224,6231,666,6816,5209.674573385424,3101.0689470827856
02:54,74,173,1260,225,2701,3841.456334549254,3282.1135691958193
02:55,99,190,9118,431,4757,4584.338092398465,333.78873532172526
02:56,23,118,1554,653,7460,2236.651269138394,966.3301478896235
02:57,34,155,5164,973,10704,4222.107208281692,1298.2962128847096
02:58,87,201,431,111,1714,550.6874995628596,501.2887791175388
02:59,65,159,9245,588,6551,12037.27368408905,7968.071118439442
03:00,27,134,968,626,6355,5860.212842812511,5349.396748194581
03:01,88,203,6121,288,3002,5054.975222151752,1529.9216313996033
03:02,23,242,3486,35,1056,3338.4454010474574,2220.7735469156128
03:03,88,137,3243,597,6189,4920.363929741681,1254.1483795043166
03:04,53,221,7917,904,9127,10295.303537395774,1564.8588003083155
03:05,50,95,1923,3,201,1207.8648036146262,39.49090227529605
03:06,70,90,285,5,87,212.73446070337718,93.45013708680833
03:07,20,134,1505,530,5487,5246.416516149118,3077.429373745592
03:08,92,110,2301,210,2594,1504.363233231395,910.4359438162489
03:09,36,165,2730,998,10193,10431.012100160291,9717.809883591166
03:10,82,189,1894,667,7423,3581.3385259241527,2562.949715255532
03:11,94,132,9292,199,2896,3785.5649522495296,3256.807507610971
03:12,48,194,6020,769,7826,12308.329435234096,5854.85928562007
03:13,61,178,6583,889,9034,5981.257062586201,218.02084131960535
03:14,97,83,5079,195,2245,4609.9628105478905,4438.458595622961
03:15,46,237,9692,300,3990,7125.326417513765,385.6841020632209
03:16,69,183,12293,843,8555,11952.154079479342,526.9143492721581
03:17,57,230,4945,911,9797,12823.891562382272,10564.942158219867
03:18,83,244,1791,186,2555,1160.3132531082563,469.68311309378174
03:19,51,119,491,655,6874,1287.8558347571684,734.7837232734648
03:20,92,202,17380,467,5145,15701.38243365712,11826.216805807297
03:21,50,100,429,792,8714,872.7639107244756,129.4068506920443
03:22,68,234,6836,346,4393,6603.725333597894,5035.161027961738
03:23,29,125,2358,452,5148,3389.701576225858,1347.887560285983
03:24,82,226,10145,386,4097,6600.254532532535,214.98503772907534
03:25,47,139,2357,149,1831,1486.6039988157963,1372.0855206417957
03:26,51,145,7327,772,8610,6008.510877434439,1028.7541605672982
03:27,56,221,5009,540,6139,7750.878449767941,5127.7944846794235
03:28,54,170,7145,765,8044,8351.619469592919,3940.43264553042
03:29,99,223,2014,237,2952,2256.2060116735056,2039.028052734138
03:30,41,229,3715,327,3613,5945.65135601837,1989.782897297693
03:31,83,144,5680,761,7987,6537.652589992066,5088.027032662978
03:32,52,233,2188,172,2501,2686.4314070437713,1878.5420541668805
03:33,65,148,2983,461,5533,5828.049186078161,2036.2759829563333
03:34,97,207,13875,959,10157,19194.576143576276,1313.655043813414
03:35,86,204,13101,690,7113,7670.51583877721,3456.163568238785
03:36,50,137,5252,943,9513,10612.185767845542,2950.2250357060357
03:37,57,115,4275,642,7009,5510.9613819027445,3560.383236881838
03:38,54,205,4119,43,1065,1187.8703226741377,788.4536573458373
03:39,30,161,3549,947,9902,12963.302376813273,6049.808185418788
03:40,52,219,927,100,1563,1861.9354405136392,1464.9761555294908
03:41,48,228,3304,857,9295,8119.215637304789,1017.1493818021557
03:42,84,149,5112,155,2403,2329.2483776072795,1546.17020623307
03:43,79,156,1559,199,2641,2576.693516935058,167.73093692469487
03:44,54,163,7336,383,4156,6163.074237062858,1470.7020727769568
03:45,32,222,6955,238,3016,5473.388947189382,1540.8342498971197
03:46,97,157,3790,122,1309,2487.6352995640973,1070.031942320872
03:47,21,227,707,49,1471,467.27083845700895,112.09907197810062
03:48,44,234,8606,96,1571,5076.956301446019,2876.751077561238
03:49,75,225,7888,395,4802,8047.852285451938,3566.3228924286745
03:50,84,120,2161,423,4587,526.4954666203638,267.76932739037954
03:51,24,202,758,128,1282,921.6703117528809,794.5922089271461
03:52,22,189,3923,837,9023,3274.5356347402367,962.8989336137623
03:53,23,98,126,416,4461,3111.5300139351716,235.9426045733062
03:54,39,140,4682,427,5128,8695.14321944499,7935.907120926609
03:55,93,240,3789,771,8638,8279.113772933271,2114.083175716881
03:56,22,88,475,121,1589,1018.940890476479,126.42766668525424
03:57,97,192,4524,299,3197,6439.880298516502,1843.2084067683197
03:58,67,174,11201,57,1046,8255.744903915976,3539.6660703987554
03:59,66,180,6013,941,9632,3948.5949995249266,3782.634850187947
04:00,44,173,4446,441,4466,3440.0858442808058,1139.0458749159516
04:01,90,193,3626,325,3718,4822.0335233983915,3440.8731378828375
04:02,83,155,3220,446,5276,4851.110319261067,3487.798017613084
04:03,76,108,7841,212,2347,9345.704971880934,5522.768189545128
04:04,38,230,3803,405,4365,6201.679994394148,6000.365143181312
04:05,87,172,7003,489,5097,5632.2531385169195,3049.3882485430886
04:06,92,151,11743,652,6537,10410.604723823042,4193.327930565597
04:07,89,151,12422,354,4275,3736.1432109181505,3165.98517969012
04:08,99,95,8921,201,2553,7232.661537783943,324.577371475717
04:09,80,240,17754,275,2806,1769.929735540508,1202.9967957929287
04:10,91,105,7938,580,6070,9515.000904795706,854.6217411243141
04:11,62,111,2768,193,2727,3166.433222146413,1484.461137717915
04:12,25,196,3528,310,3322,2816.157931815481,2471.913456012068
04:13,36,227,5783,888,9263,1152.6919572679838,408.59712874848617
04:14,41,211,1840,557,6126,3705.936743133198,3405.747044892623
04:15,25,204,4650,582,6216,1359.2789842772706,571.667131095697
04:16,24,134,825,58,1551,1708.970273915956,1296.6725337414189
04:17,26,239,2440,979,10589,3830.923936440421,2996.7135394292245
04:18,58,160,3670,565,6137,5644.499194384129,4759.320679599155
04:19,77,214,8814,255,3425,2197.812785967879,1640.4007199702403
04:20,31,188,3248,782,8778,4087.739526546125,2974.2213338700813
04:21,47,212,1831,384,4511,4038.129054193791,3522.227940640916
04:22,34,200,2605,976,10615,3215.0983284222284,2066.8911320606394
04:23,85,125,360,498,5015,4426.681362233476,1221.1876880755178
04:24,67,132,3415,342,3818,6617.642011264419,4791.460800143057
04:25,72,100,5339,845,9109,12746.190725418503,8934.266751124615
04:26,74,195,2358,632,7106,8323.600673941062,4392.984575301756
04:27,64,98,3230,362,4282,7043.53725607396,6837.945643211363
04:28,43,213,7875,450,5395,10183.132536771946,8077.594351820799
04:29,75,133,6253,682,7580,10478.766580702571,10465.777432706307
04:30,77,86,3441,27,1011,830.1106462689564,480.1191121756435
04:31,25,229,4859,201,2974,6313.624618952943,2531.38974866862
04:32,54,216,695,785,7984,2936.9204085113893,222.00536145602368
04:33,38,159,4090,558,5587,3053.860889729978,1176.990576025944
04:34,24,149,1605,396,4627,3948.685975940532,2004.3074307023617
04:35,41,216,1968,5,638,1783.0060019536963,752.2118182094355
04:36,20,213,4216,111,2101,2267.5759222479155,1201.8232436807848
04:37,57,239,517,347,3565,2849.8194944105726,1711.6387624948527
04:38,37,118,503,606,6332,4008.515193957711,1371.547086010563
04:39,64,85,4251,859,9026,7494.38384690006,7008.4199826875465
04:40,98,135,5552,537,5894,8143.197142487633,6660.60217762351
04:41,51,112,699,699,7686,8140.520092790518,2426.7696551172417
04:42,31,122,1853,971,10195,10944.232616747251,197.8682431841519
04:43,80,227,10956,436,4511,5073.633894245064,4495.164507786629
04:44,48,247,2861,280,3511,3935.470776846465,1728.7453539828657
04:45,84,94,7135,752,8126,13203.964553401504,9714.549507683307
04:46,53,218,2731,36,1038,3411.2988835451038,2777.161186701901
04:47,34,92,2226,226,2417,2089.803672902737,1235.4692521201835
04:48,26,131,3159,514,5191,4698.305813666466,1734.2862682965012
04:49,76,238,9540,166,2453,3543.7415476516558,1297.9717990976194
04:50,79,88,5227,806,8813,10710.466823039103,3902.0610773966423
04:51,35,105,401,540,6190,4740.49426560084,3447.1196505798
04:52,25,89,1635,313,3458,1832.4753512342495,1038.1217745693539
04:53,84,202,11288,202,2995,7652.147771513295,7587.92518221222
04:54,42,193,7805,330,3784,3890.576143674294,2869.4229750685454
04:55,58,250,2997,353,4352,6853.579935731941,2945.446616829378
04:56,63,190,7014,778,8248,12329.537745726957,8378.39098354335
04:57,40,81,2655,929,9497,4770.672338671868,2276.27811671981
04:58,45,228,1650,919,9767,5129.471472716405,1824.6234499758486
04:59,53,226,5083,328,3328,7735.8606273310825,530.003994921636
05:00,90,163,13044,798,8137,13427.350767664859,8272.983745329351
05:01,86,152,8654,648,7098,13719.729731116577,6229.936072248469
05:02,95,143,8702,335,3675,5004.730517074893,331.4872621743422
05:03,71,124,6472,283,3497,5537.19790942747,4731.2521200229085
05:04,25,89,565,885,9190,7130.258165362933,3948.1328294255827
05:05,24,171,3304,182,2269,2971.2551859428354,307.1089807068892
05:06,78,92,5435,255,3500,7438.92203869032,7424.886233223808
05:07,57,157,2948,845,8500,4748.518749879044,1684.3270760442617
05:08,88,153,5197,638,6979,5331.379744627249,2710.4222016328936
05:09,43,106,2229,428,4692,3288.5320224718216,1510.2822709876548
05:10,100,164,4958,46,1283,4564.761859116653,360.76348314946875
05:11,81,185,3382,194,2114,4275.527463566706,947.194503345002
05:12,21,167,769,187,2017,1600.0834301344762,818.6369589350769
05:13,61,231,10796,190,2832,3345.447997386387,1756.54159495338
05:14,30,169,454,564,6609,4823.251170041018,3048.367223651325
05:15,83,92,5858,364,3801,2715.119242018466,627.9325549863896
05:16,64,101,2898,496,5184,3625.0173882005874,2860.477648383465
05:17,96,109,2646,487,4948,7369.764364525508,1520.9669435297076
05:18,77,214,10546,20,624,3440.0891850935436,2074.647461686774
05:19,81,228,4105,914,9295,8576.218101336144,345.9150516447756
05:20,34,91,1194,180,2440,2630.1346867446946,339.98227281937403
05:21,86,196,12242,807,9032,9841.204348430638,4521.218826744731
05:22,25,219,5096,332,3587,2082.180796490443,1487.4565022819042
05:23,54,160,2958,757,8098,9142.794926577735,5894.1629920870155
05:24,100,191,14894,762,7753,18281.899211517826,11322.864091706131
05:25,99,101,9667,962,10096,4919.879015349823,3923.162799346165
05:26,26,217,2605,621,7209,8152.700557990013,5504.879910952247
05:27,83,194,13678,330,3373,9467.809029322962,7202.18345580242
05:28,22,204,2154,34,353,2210.3501458539345,670.160882926422
05:29,85,199,9756,610,6943,10610.117498626081,7061.892776689559
05:30,73,100,5903,763,7678,2252.667161759514,1868.927977518351
05:31,62,115,5149,955,10212,2539.640380402095,1271.1045722154306
05:32,90,214,10639,363,4380,10561.245419107217,10075.868410673445
05:33,24,225,5202,522,5703,4697.013485716798,3104.523845041336
05:34,100,223,3385,546,6437,8324.67892119374,7057.309850757092
05:35,35,190,2474,347,4081,4042.3877139754613,3835.0000809026074
05:36,51,218,10525,285,2966,2626.653379819426,317.57419770165507
05:37,71,84,2281,916,9722,3418.6133819948386,773.6153285486138
05:38,84,84,3958,859,9396,4149.799879158229,2117.8193186554204
05:39,90,153,4757,440,4413,5131.442899637419,2404.869099718773
05:40,89,131,11022,149,1823,9073.091544917652,5932.383219429317
05:41,79,106,2822,324,4188,3085.794175580344,804.9164895597977
05:42,30,162,1055,593,6178,3515.7244360486466,2306.8448939197456
05:43,80,157,9884,19,1158,3991.242447196555,38.08463052263496
05:44,88,139,12210,424,4657,6781.337459997811,2402.0212185629753
05:45,48,165,729,69,1196,377.7865211532269,206.2463034502126
05:46,29,204,876,511,5796,3944.002927946491,3518.3618217779244
05:47,62,210,7317,126,2121,4872.242678531366,4205.62711574748
05:48,45,240,10021,494,5681,8601.32751708855,3199.2444592141305
05:49,74,108,6605,863,9186,9018.079083408411,6687.043943548051
05:50,54,145,2211,737,7574,3566.1111601642406,1742.1589108775447
05:51,29,83,1979,547,6294,6837.181268585441,6413.224401208443
05:52,45,156,1174,700,7622,7144.978471247417,2145.3814398018058
05:53,72,156,3223,711,7523,2370.855445680236,1934.9193150158826
05:54,86,199,3627,619,7131,4028.763163964689,3912.0673822856315
05:55,43,180,2250,207,2318,2013.311746280746,1299.0699495123315
05:56,73,199,2318,278,3440,1120.9681285379374,300.97485680356635
05:57,100,130,3942,950,10050,8439.692856572437,2892.2808835765104
05:58,34,219,2462,655,6640,7018.627296264001,554.7369640769833
05:59,41,178,2185,469,5101,4438.23204622487,1747.2555094793297
06:00,75,135,8719,293,3746,9824.180914723913,1898.8599910407581
06:01,42,80,1977,728,8251,7614.614529122256,2450.4967417478847
06:02,77,173,3087,844,8908,8920.529663876609,4194.863433482946
06:03,93,229,8147,593,5932,7117.5977647396685,2872.7205746739132
06:04,65,198,11859,637,6895,12771.903506280045,12434.742940341363
06:05,23,210,3648,890,8911,6585.2216841072395,4682.2024821715795
06:06,79,221,1453,745,8114,4544.554294097893,685.9833755246004
06:07,44,216,7223,61,1279,7480.721210858005,797.055534490939
06:08,51,223,2126,524,5473,6367.851125553778,226.6758775810982
06:09,90,83,5219,936,10015,10961.95279766385,9347.243606761034
06:10,49,101,3911,972,9886,8817.483712911318,5247.639523319861
06:11,22,236,4749,680,7750,5713.774013545104,801.653605988538
06:12,60,187,6624,248,2864,4803.061362037222,2122.6997249923966
06:13,84,186,7504,748,8259,5767.202369470925,582.2037577853157
06:14,97,180,7822,608,6659,7372.620312027018,1109.697930620335
06:15,72,215,2716,53,1273,3290.944763229633,1210.2113136430787
06:16,42,166,3911,539,5769,7589.979594772554,13.740534804582506
06:17,96,219,5835,291,3561,2727.1456025899497,1480.5221793522178
06:18,92,243,13290,823,8566,16297.164831994416,5479.74697545543
06:19,71,209,9863,375,3951,5810.127893978485,2314.8880717864336
06:20,60,152,2135,631,6567,6343.603751558523,3670.0551884951997
06:21,56,124,4336,372,4532,4293.967507174029,1030.0383833369024
06:22,24,239,2645,882,8954,4625.118091752475,1273.2383713358524
06:23,94,173,6930,150,2200,1784.0284839937303,529.9377378469858
06:24,74,217,13728,726,7556,13620.252539033427,4561.980107182954
06:25,30,188,1768,730,8270,8601.141298481169,2053.2021987551266
06:26,53,150,2009,664,7403,2013.9826540653573,1916.8843424683323
06:27,48,116,4374,398,4748,4816.183261760685,4157.945148167214
06:28,41,220,7314,759,7724,7236.396494782095,1253.6516740832762
06:29,92,225,1543,217,2782,1344.1763608734257,497.80516655932547
06:30,54,115,638,409,4236,4088.1891391365434,3750.9449569372173
06:31,100,107,1580,687,6897,5990.7066844992,5867.879934489266
06:32,36,82,701,247,2746,2819.0015019832736,1494.5536065572937
06:33,48,230,4706,634,6572,6508.219138264598,4875.665092407849
06:34,59,209,3930,536,5362,6107.595086982018,4590.851021178287
06:35,67,191,9237,182,2415,2336.9368202291407,615.9681233737178
06:36,76,222,2195,496,5814,2475.898753144712,2198.6105070665667
06:37,91,129,3340,127,2002,951.689048968111,522.0379577435273
06:38,92,240,7147,62,1576,1992.5005055928236,1007.4454748641479
06:39,84,92,746,464,4705,4952.904302248526,1758.2005266784427
06:40,33,159,2390,37,804,1969.8536315012252,946.4770217953284
06:41,69,236,1779,126,2187,1119.947831312786,547.0658397627806
06:42,78,202,11480,765,7958,7309.76484548084,5205.6474326926245
06:43,73,96,4234,983,10049,4671.525726225799,4532.496331200142
06:44,81,131,2364,838,9135,10606.994288123375,9807.522822574427
06:45,99,229,10252,366,4537,4661.839119651113,3063.8446970031337
06:46,69,157,6127,465,5645,5318.154404019372,1676.1060791223863
06:47,71,93,2877,265,3167,4543.214320673641,1082.918996625745
06:48,56,110,1032,844,9171,3301.8843549621593,267.0107220149939
06:49,30,221,2356,365,3944,2391.8117955000944,1924.023483075607
06:50,33,221,7246,333,3972,7409.362890826683,5649.351129370239
06:51,43,125,4831,299,3634,6205.055394188779,5147.601148346696
06:52,91,143,4953,257,3451,3486.152498316979,208.2247494441834
06:53,45,122,4276,275,2839,2368.269064887206,173.5062451169035
06:54,44,139,1712,644,7338,5989.662599093598,5382.746811395966
06:55,24,242,1496,31,1044,772.953454874963,762.1277753758192
06:56,81,184,327,987,10758,9930.432166320512,8198.14831330031
06:57,71,118,3270,484,5120,4869.501542103768,1401.9510572738836
06:58,97,247,16731,89,1805,1299.9024397250228,82.41323243371207
06:59,50,224,557,725,7458,6254.087936748923,3880.6354586940074
07:00,30,108,2415,708,7313,3280.155210818353,1275.9268355396302
07:01,41,245,3740,431,5185,7151.7187349475935,4904.269111911362
07:02,95,158,1324,878,9256,4464.421686866275,3926.572546749623
07:03,22,223,2511,350,4068,4156.533625692647,1998.2383707305705
07:04,43,101,2780,284,2993,3818.624220465271,661.4869912281607
07:05,49,246,4047,85,1226,4257.432600332229,2201.6044553998436
07:06,55,250,12326,175,2448,4908.72927919603,266.8034885218631
07:07,90,132,4816,661,7534,6281.389997137727,3267.706431678606
07:08,63,88,4340,313,3836,4695.242795055724,2853.1210249156657
07:09,36,134,263,860,9075,3572.1468226232682,826.427599640302
