time,width,height,weight,hp,strength,powers
01:03,26,196,1751,207,2226,784.4493909787798
01:04,34,240,3593,126,2040,2513.8017530580623
01:05,48,233,9587,99,1241,8862.168453408332
01:06,21,182,1442,983,10156,7688.553097640468
01:07,25,183,4157,187,1909,5567.102853466153
01:08,87,121,4944,350,3880,2549.573163695852
01:09,56,229,1766,499,5323,3585.1944747823704
01:10,54,249,11397,454,5469,13937.700967761968
01:11,100,201,7443,570,6605,6110.017477575717
01:12,43,84,1869,515,5356,901.0427501930228
01:13,49,246,7671,255,3305,4831.419559432448
01:14,43,174,4150,147,1807,4275.835760106521
01:15,30,94,1131,737,7682,4310.8498443997705
01:16,100,227,9269,939,9664,8739.266833217338
01:17,23,133,1700,195,2462,2717.1224775842775
01:18,68,249,9979,789,8023,9090.126396884536
01:19,34,201,632,77,1422,1705.613580696317
01:20,57,185,6660,974,10487,8822.91081017731
01:21,52,198,5371,903,9749,9661.206428615063
01:22,46,241,2924,839,8484,1913.8295617185695
01:23,64,134,8465,26,304,5199.406496701603
01:24,61,239,12050,173,2352,11906.867273810667
01:25,47,181,6519,811,8924,7993.93454829601
01:26,58,190,3350,980,9886,11688.748670704677
01:27,43,127,5214,449,4542,3126.103128681195
01:28,41,220,2236,632,7144,7863.400050810883
01:29,20,241,774,893,9904,10427.070987433133
01:30,70,192,8265,768,7952,7101.925754986485
01:31,38,120,3525,670,7022,4580.99226279232
01:32,85,93,7644,81,1467,3901.459925931159
01:33,90,201,9451,790,8100,10862.863118803936
01:34,49,241,4617,209,2778,7226.103453117492
01:35,43,147,4130,434,4952,4682.470716207643
01:36,100,109,5011,577,6762,6177.902538447876
01:37,84,243,8093,656,7001,11743.67903272621
01:38,43,190,1807,16,889,1332.954860425181
01:39,100,250,13367,504,5330,3256.2829577577295
01:40,63,215,7287,526,5319,7581.982071062449
01:41,48,123,4932,177,2093,5457.943213746885
01:42,81,225,6276,173,2714,3584.483381422862
01:43,43,230,6499,660,7241,11461.911105981704
01:44,46,244,8712,849,8674,8353.239762755084
01:45,63,220,6857,815,8898,12050.462834718623
01:46,87,227,8519,151,1877,8087.4209768216815
01:47,77,202,12757,290,3806,6362.3179705840175
01:48,93,147,4194,484,5110,7030.730395368408
01:49,75,177,5862,912,10089,5678.212870182255
01:50,56,194,678,985,10496,11340.795786852525
01:51,80,161,7178,338,3780,7789.999758448344
01:52,29,131,1682,644,6855,7515.449892203209
01:53,38,102,3432,633,6739,8814.42895842277
01:54,49,150,6898,212,2140,1878.309517329646
01:55,45,225,2083,950,9912,11297.141279390782
01:56,24,142,2152,817,8563,5072.931087422363
01:57,22,218,1287,34,1332,1366.7255516482555
01:58,30,228,2468,835,8994,1393.9175445829446
01:59,96,123,9543,38,1228,4828.9172139539105
02:00,30,146,3719,711,7764,7852.829215349545
02:01,52,98,4129,993,10579,2613.418291826989
02:02,81,245,13269,971,10305,16220.631979350204
02:03,38,126,2298,850,8542,7303.904436972614
02:04,45,131,3175,874,9235,4712.994625641614
02:05,55,156,6104,396,4340,3074.491546168926
02:06,90,88,7358,804,8314,6540.677580343055
02:07,96,160,5810,159,2155,3898.828668947581
02:08,74,196,14143,538,5539,7490.784309103505
02:09,86,219,1694,350,3994,2802.026058618556
02:10,35,152,333,269,2943,1645.7491160527486
02:11,64,193,3134,729,8171,6456.166541679575
02:12,97,142,12062,628,6783,3405.088100117883
02:13,77,224,9870,565,6578,12396.592827192368
02:14,93,237,7677,534,5399,9025.71715516583
02:15,22,124,146,398,4291,3608.5465424300974
02:16,23,132,1128,712,7811,5864.412956961466
02:17,29,193,359,583,5911,3173.786486894574
02:18,75,231,6791,142,2220,2177.815625610498
02:19,36,130,2709,796,8599,5437.413757678138
02:20,72,171,12042,406,4129,8270.96954194138
02:21,25,191,2037,53,663,1742.0713954953385
02:22,88,169,6549,730,7946,9734.17583691849
02:23,74,104,7173,912,9497,3572.4963435525356
02:24,38,159,3044,128,1735,559.0615999176697
02:25,78,243,14941,522,5343,6820.690802623308
02:26,29,191,876,292,3729,2192.8358642334897
02:27,96,208,16016,955,9883,22494.941671466364
02:28,39,190,5204,426,4284,5668.149735924161
02:29,89,192,5483,896,9605,6666.650725495459
02:30,66,196,2297,944,10019,3065.6781095169586
02:31,32,96,1077,4,697,179.2226148593747
02:32,62,215,8654,627,6791,6563.388715948962
02:33,76,80,3073,743,8065,10041.516541488592
02:34,75,87,2186,528,5815,2586.2458639426086
02:35,37,143,1324,154,2527,1710.0932189774546
02:36,23,222,1247,872,8971,4284.414777358509
02:37,49,208,9821,983,10627,8478.932023183055
02:38,69,241,452,543,6319,4952.953602853388
02:39,57,164,9102,757,8520,14098.980684264512
02:40,86,80,3218,29,908,2479.5642446510283
02:41,87,155,2041,333,3662,1942.0224318724174
02:42,28,140,282,11,240,334.51812453732083
02:43,59,182,7062,415,4996,4752.501667814402
02:44,92,131,8955,958,10186,12126.532925008889
02:45,24,98,1847,229,3049,3742.2995928492414
02:46,36,119,724,465,5095,1425.2852053177621
02:47,82,194,1750,84,1455,1427.2966049718873
02:48,34,137,1386,937,9473,5714.748599484245
02:49,50,97,196,595,6772,4281.577370392142
02:50,97,226,19643,369,4637,18846.647695395335
02:51,100,224,18442,506,5948,6402.952279698477
02:52,62,158,2800,415,4458,2334.067472940396
02:53,50,242,5052,507,5539,4309.112932022296
02:54,68,85,3349,191,1996,3936.689635812595
02:55,73,125,7738,60,1408,1390.5510084218424
02:56,48,168,7899,352,4317,696.517177801236
02:57,78,237,11951,73,850,8638.524352039525
02:58,41,222,1297,292,3338,1391.9310852262047
02:59,77,91,1292,565,5753,4886.433034404896
03:00,40,131,3365,636,7173,4459.120607905289
03:01,54,86,617,66,1175,1492.8064775677544
03:02,41,188,6511,784,8469,6756.353489353518
03:03,65,209,7899,323,4158,8327.771645431183
03:04,73,108,608,843,8548,1028.3891319850281
03:05,91,149,12863,841,8800,9793.313429849974
03:06,41,126,2802,100,1595,3025.698536767174
03:07,39,84,2933,807,8191,9783.904376587623
03:08,76,211,12495,873,8989,3051.4690716046707
03:09,34,122,894,337,3794,1928.4062145474031
03:10,70,194,4573,391,4293,8163.375237211858
03:11,65,171,8035,954,10338,8978.773827193118
03:12,48,217,10047,196,2033,6696.03713000557
03:13,45,139,3770,762,8339,10425.519408622473
03:14,77,121,2713,654,6754,8654.529475523055
03:15,49,221,10539,105,1811,3434.6337882607295
03:16,39,231,7564,114,2072,8030.493621734432
03:17,76,223,13705,716,7234,13945.371284812485
03:18,40,203,4017,985,10722,7846.09741184413
03:19,75,214,14438,768,8270,16193.289121819433
03:20,98,155,4513,823,8234,8472.72487820921
03:21,78,224,1137,446,4625,3732.0417264399866
03:22,37,125,863,745,7919,8431.719694216183
03:23,71,230,8502,343,3478,3412.7594093981543
03:24,56,166,2968,809,8847,5396.009712884259
03:25,31,217,5441,529,6173,6849.900591087365
03:26,44,159,5319,101,1855,4345.97714834665
03:27,59,184,8203,601,6396,7143.86277374053
03:28,43,222,9091,146,1668,5415.340213133182
03:29,29,196,4539,955,9750,4416.924287543545
03:30,67,126,5202,649,6904,4740.540156688185
03:31,89,133,7205,587,6305,7329.365215892814
03:32,51,124,6075,872,9172,11304.459372857522
03:33,61,237,2608,825,9160,3773.922267146032
03:34,49,166,2908,154,1679,3626.4622467707986
03:35,34,183,5789,785,8055,10653.810056317805
03:36,55,229,9931,538,5458,7351.229376938643
03:37,60,82,503,107,1984,1283.6218292476442
03:38,26,218,5541,48,1030,2283.2396111871813
03:39,54,89,1697,983,10320,10354.084207407417
03:40,35,215,3240,372,4578,4700.037493689059
03:41,75,185,1095,987,10331,6226.856392400978
03:42,75,229,3279,397,4391,5171.642835321403
03:43,91,189,12488,143,2220,8350.974155096375
03:44,34,185,4174,663,6676,10201.867310310934
03:45,40,101,1520,392,4173,4039.0929926877284
03:46,79,235,5519,996,10551,5778.316317702832
03:47,31,86,1882,199,2034,2378.4545418430066
03:48,29,245,1562,696,7826,7473.455251621715
03:49,76,233,4450,259,2779,5717.6850784221715
03:50,49,145,493,836,8593,721.827676954954
03:51,99,186,9644,927,9997,15582.692823801703
03:52,96,221,19751,278,3217,10589.176271069691
03:53,21,123,2544,933,9868,6522.619472933418
03:54,81,214,5865,74,1307,1771.575959054553
03:55,24,137,672,823,8753,6108.058193813609
03:56,82,99,7099,702,7273,3277.0449384830094
03:57,73,211,7817,549,5541,6927.490412835212
03:58,90,172,789,833,8447,3045.975516114493
03:59,78,115,7599,776,8560,9986.362991904682
04:00,79,186,3339,647,7199,2328.9347283596285
04:01,48,206,3134,177,2170,2316.6028083104616
04:02,76,237,1013,733,7695,6420.110581828054
04:03,30,91,2015,988,10855,6069.643010069483
04:04,88,196,744,823,8303,3947.5329966776226
04:05,67,183,9215,559,5887,9680.272703231549
04:06,31,148,4184,641,7400,3891.2934655513636
04:07,65,107,1262,147,2208,2957.892439195112
04:08,83,116,7921,21,379,5616.53963645917
04:09,75,164,9899,787,8851,10818.63255817161
04:10,83,102,1034,127,1786,2218.9013134398765
04:11,47,98,2916,843,8911,5385.9573633135915
04:12,93,206,6201,704,7869,7557.54987529738
04:13,65,132,1849,911,9900,5041.950511605458
04:14,77,92,2698,729,7577,8899.464884280207
04:15,60,149,1893,907,9275,2749.2065074422862
04:16,44,117,1278,891,9651,2511.5309154968973
04:17,51,116,2646,976,10114,5755.341720872204
04:18,84,240,1759,358,3932,5374.8352408663795
04:19,38,157,200,481,5566,5157.348679037481
04:20,35,236,3969,429,4727,5642.248824975073
04:21,35,175,974,451,5298,1382.7118730468326
04:22,74,182,10161,175,2708,7836.930743845076
04:23,73,80,2794,581,6804,6070.2811119187045
04:24,38,175,1836,652,7400,3286.0190983291704
04:25,36,158,1925,703,7847,8017.079466294367
04:26,57,178,1254,855,8823,2290.3158088405103
04:27,28,201,3815,567,6214,5160.745907326679
04:28,95,214,17766,665,7271,7523.379503329149
04:29,47,205,561,51,1300,477.5145082881916
04:30,89,198,15815,873,9672,6274.094478194269
04:31,50,139,921,94,1647,1867.121489381972
04:32,87,242,20032,309,3837,18376.120969692227
04:33,69,226,7950,708,7252,4405.395166404976
04:34,78,135,4759,801,8215,5682.71074899184
04:35,22,250,1920,496,5096,5193.479987746303
04:36,26,101,2099,448,4502,3182.9637907646634
04:37,54,176,1348,466,5556,6009.530842700717
04:38,97,191,13018,561,6586,7804.716478761672
04:39,89,242,19945,690,7363,11304.721938200346
04:40,81,145,1415,645,7393,6306.141149945328
04:41,87,225,11971,598,6157,8519.352864870747
04:42,46,94,1832,810,8677,6410.919331393167
04:43,75,224,998,234,2848,3064.2119121210008
04:44,39,100,329,367,4084,3280.628408913987
04:45,52,110,1423,676,7748,3091.055572273628
04:46,35,240,4025,486,5070,6704.586232439823
04:47,89,229,8428,184,2234,10133.482413090715
04:48,48,191,3198,325,4144,1479.31309493124
04:49,49,168,4734,987,10128,11605.576683928703
04:50,69,172,3545,962,9631,5921.70539280098
04:51,95,241,3976,635,6941,5734.315287875162
04:52,61,183,6485,366,4033,6273.921069887898
04:53,47,95,435,663,6934,1938.4302968406623
04:54,72,173,4337,840,8423,6704.2571832388585
04:55,38,229,6026,499,5534,2995.1310314463144
04:56,40,199,6701,261,3059,2087.3068273237977
04:57,44,102,3233,962,10547,8308.330431848774
04:58,45,233,8721,127,1722,7030.962100108889
04:59,57,161,7637,285,3712,5222.235906964637
05:00,74,188,5682,492,5185,7882.327481817121
05:01,57,112,2779,923,10155,6956.496259702064
05:02,83,242,7656,897,9382,6921.071992722406
05:03,63,166,3987,754,8155,6453.232078954667
05:04,86,148,10596,884,9545,11021.671024438305
05:05,71,189,11437,171,1732,3954.777116298725
05:06,96,236,12813,168,2342,1444.8160235727155
05:07,31,191,4892,202,2501,2963.2451629456755
05:08,20,203,1540,825,8453,5636.736027909399
05:09,49,215,10099,431,4341,12131.777504784695
05:10,38,111,4213,497,5220,4101.475583176285
05:11,30,162,3134,637,7260,7016.263541092998
05:12,91,141,9240,211,2202,6667.875179824266
05:13,23,120,2710,261,2829,2405.8870686760683
05:14,54,136,4134,470,5043,6433.012734441051
05:15,22,104,267,862,8999,8338.298365685454
05:16,24,222,4850,290,3435,2665.8717339901063
05:17,26,176,239,792,8077,7704.6493442445035
05:18,47,231,8628,660,7439,6162.848210064642
05:19,25,120,2431,596,6887,2772.525002808108
05:20,45,146,2353,66,670,800.4912667956918
05:21,81,173,10249,480,5266,12741.10042492658
05:22,55,192,8399,240,2406,8128.9642904576685
05:23,79,240,1123,513,5758,2490.4749020857807
05:24,74,248,9193,910,9718,9293.904782635867
05:25,75,177,11299,771,8520,12842.513701666383
05:26,95,175,3192,818,8423,3457.8621147742583
05:27,87,159,4670,910,9544,9992.17532541402
05:28,33,173,1900,205,2416,1166.124678273473
05:29,93,229,19642,397,4410,3936.830243671746
05:30,75,186,13325,111,2053,6353.999671552395
05:31,58,132,6852,881,9675,13897.75709882469
05:32,31,199,5967,245,2708,6352.592633094108
05:33,91,85,4275,493,5146,8028.813925359395
05:34,20,221,2092,187,2077,3201.6314006684443
05:35,81,230,6154,868,9677,3295.204867072994
05:36,67,178,2262,132,1622,2747.5530602656568
05:37,33,159,726,745,7594,3542.831393135408
05:38,67,93,4533,890,9796,5027.647936786803
05:39,56,204,5683,944,10097,14020.19182446976
05:40,82,143,9386,420,4475,7290.102697023693
05:41,76,107,5424,233,2849,2129.123868705687
05:42,93,116,1638,800,8224,9888.006493087309
05:43,52,222,10178,963,9661,5539.7414568332115
05:44,43,110,3164,898,9638,8491.764041915452
05:45,88,164,3334,108,1145,1658.3351183553873
05:46,47,112,4208,271,3612,1500.2191338927655
05:47,51,169,6941,938,9552,14249.08186230458
05:48,65,195,8053,450,5394,2205.1501604846712
05:49,44,227,4108,653,6755,8214.029007618401
05:50,87,169,1602,26,705,1574.9041260685772
05:51,99,177,999,109,1738,1328.3507458752426
05:52,27,185,1912,116,1274,2671.996765764087
05:53,33,91,2905,106,1721,1878.9168093250635
05:54,46,83,3275,728,7814,7932.300438954565
05:55,80,233,9798,990,10020,10570.341440623111
05:56,25,248,2227,191,2081,2039.477528762225
05:57,60,184,9100,239,3372,11344.702367463387
05:58,78,116,3563,812,8631,10227.096139286756
05:59,48,228,1457,792,8813,6784.727158127163
06:00,65,158,3515,178,2466,3992.168957390706
06:01,84,186,598,84,1524,2048.7483430370903
06:02,70,88,5592,301,3509,2890.509647682045
06:03,46,242,9631,109,1828,4092.0002083872714
06:04,60,238,4618,788,8497,6573.917553974561
06:05,58,193,4625,636,6962,4705.498392698841
06:06,65,186,4688,569,5732,4978.443423480903
06:07,63,98,1881,424,5129,3235.1266145603445
06:08,60,86,4493,323,3555,7049.8233138954465
06:09,79,98,4883,845,9037,3585.694255729304
06:10,81,114,991,211,2918,3122.40987270173
06:11,92,102,881,452,5499,5401.957703283487
06:12,75,127,6763,580,6326,8649.9598570114
06:13,53,143,5680,315,3995,5012.72728751897
06:14,80,160,5358,252,2936,5133.958838891919
06:15,92,152,3674,187,2152,1942.4498342116653
06:16,72,146,7677,396,4078,5726.6413138390535
06:17,61,247,14350,32,1121,13133.38782163404
06:18,38,143,3939,656,7371,9200.44775477218
06:19,27,162,988,745,7754,6052.699221830251
06:20,28,101,1533,407,4133,880.46628926156
06:21,37,83,313,972,10056,2993.0979751363566
06:22,70,108,3255,912,9719,6212.146869534321
06:23,36,193,4320,969,9808,8436.394802039194
06:24,73,163,2790,334,3605,2122.3661064019643
06:25,33,218,2211,939,9809,4664.391227527706
06:26,37,175,4194,655,6907,7897.24969704854
06:27,90,208,6279,466,4914,4360.534939564228
06:28,22,248,4058,756,8497,3730.6565519032783
06:29,57,199,7785,111,1774,4953.7487731073625
06:30,70,184,5865,576,5784,10684.233326417025
06:31,98,170,9240,449,5036,9203.167070531248
06:32,58,219,11670,658,6585,9813.932211568837
06:33,49,141,2308,704,7054,2706.537162831784
06:34,88,115,5476,888,9640,11028.31786812788
06:35,84,190,2288,384,4086,4345.546030503772
06:36,75,203,3909,376,4725,7172.447602110749
06:37,100,141,4790,214,2437,945.5222041418294
06:38,24,171,1277,62,818,181.6349657766265
06:39,39,195,3270,771,7909,9445.803375171221
06:40,51,134,5544,278,3418,4089.0330463472596
06:41,28,222,4695,391,4289,5064.209300606882
06:42,93,144,1215,21,967,628.5996146610474
06:43,43,215,9003,484,5260,6315.300473269548
06:44,49,194,8606,965,10100,12357.634165760344
06:45,54,154,5304,266,3532,3713.479525792739
06:46,62,179,6585,876,9118,9661.330044840102
06:47,20,108,749,275,2817,3016.412732843356
06:48,38,192,4332,197,2490,4749.438646221563
06:49,65,150,6739,897,9397,8091.469279907905
06:50,48,184,2098,24,889,2095.4918017158107
06:51,50,125,683,270,3694,3386.2696777718793
06:52,68,152,7852,472,4824,5567.824136969953
06:53,46,163,6274,825,9157,11457.844088591886
06:54,95,145,11572,328,3505,5063.2827213536175
06:55,37,89,615,237,2954,3254.1565455036875
06:56,58,207,10802,895,8990,19057.49203637417
06:57,42,185,7571,367,3819,8962.211091777715
06:58,94,126,4148,10,1076,2430.5526385609987
06:59,99,193,4471,154,2197,3010.909735127785
07:00,56,242,12284,201,2735,13113.8170837133
07:01,26,143,653,401,4472,4182.708621488398
07:02,32,229,5473,686,6902,3521.594402776089
07:03,29,222,3599,605,6053,3885.1212006524593
07:04,68,159,3987,606,6499,3759.787815097675
07:05,65,219,13132,748,7870,7192.307002483809
07:06,46,211,642,496,5821,5153.818911516892
07:07,38,247,1866,757,7824,7303.373756994492
07:08,79,101,4500,805,8338,8311.927893607059
07:09,95,166,4452,61,1270,3237.350017373156
07:10,81,233,12864,780,8532,10363.04937091525
07:11,53,201,8016,507,5504,4798.9346448015385
07:12,56,204,10673,947,10185,14598.174246086437
07:13,24,139,2604,222,2305,1405.8801554861598
07:14,36,138,1986,60,1380,2656.3791730818884
07:15,63,81,3914,185,2138,941.3197453195387
07:16,66,93,2253,96,1341,1356.1389909601232
07:17,52,86,3318,10,608,3531.231266777099
07:18,53,202,1712,344,3956,1859.802291031122
07:19,95,249,11009,363,3650,12978.796748148243
07:20,70,146,10159,901,9468,10666.316687646622
07:21,64,247,2033,138,2178,2156.682729165182
07:22,25,88,2051,933,10104,8601.387108185652
07:23,62,182,3556,38,1323,797.5438296028773
07:24,74,84,2164,525,6151,6553.469875347146
07:25,35,221,1751,161,2155,2467.095468932968
07:26,53,107,2723,448,4729,4284.810676823041
07:27,25,134,3098,267,2735,2557.8973706352995
07:28,44,171,3970,347,4299,7218.616366055912
07:29,98,247,14050,376,3996,14345.71693083951
07:30,39,202,580,75,880,1000.3016140068454
07:31,38,204,1039,269,2863,1575.7339838004175
07:32,37,116,3213,416,4887,1511.4199062147586
07:33,69,181,7012,867,8694,4037.298225723686
07:34,39,176,5296,225,3021,4324.803083112218
07:35,46,225,9638,733,8326,7683.123776225068
07:36,67,156,8200,813,8322,984.9753013710388
07:37,61,113,2999,318,3788,5500.005401021032
07:38,82,158,2100,812,8655,4972.108903071892
07:39,26,200,1744,375,4559,5280.09764592841
07:40,20,83,321,994,10194,8960.62373495009
07:41,54,83,4080,486,4886,6526.577265190977
07:42,76,214,12790,468,5117,9431.23088746937
07:43,28,191,4999,115,1956,3487.8797738409144
07:44,62,143,6017,560,6073,2174.0607611589307
07:45,77,150,3841,652,7345,8737.242309922529
07:46,74,134,2070,544,6167,1236.3016450617413
07:47,49,96,894,196,2399,302.4554195086389
07:48,62,223,1587,304,3576,3124.6927824240165
07:49,90,118,6785,292,3546,1802.6119221659796
07:50,91,82,3609,112,1195,1349.0855926221236
07:51,70,194,2219,485,5212,6357.435087573904
07:52,37,231,5952,782,7848,8149.09561653392
07:53,76,137,2518,894,9463,9627.494698449127
07:54,72,177,10436,340,3465,9568.39646599449
07:55,53,124,1815,332,4110,4576.60551395662
07:56,56,83,292,834,8432,2917.62935539924
07:57,34,175,262,826,8606,7445.247750959176
07:58,24,143,3117,493,5001,3312.844272063566
07:59,70,165,4694,448,5361,8127.269662116915
08:00,55,98,4060,898,9387,1930.7607664412062
08:01,37,213,2776,809,8799,10292.172840115032
08:02,51,110,5179,535,5765,10407.496803598795
08:03,41,228,490,482,5765,4472.362972014858
08:04,31,100,284,842,8883,996.759251606101
08:05,97,93,7541,693,7244,13041.271755137444
08:06,26,224,1065,387,4162,3351.5591805515824
08:07,38,190,6142,762,8136,5207.475443097555
08:08,84,177,2827,537,5605,7385.066598074911
08:09,32,228,6385,387,4730,4336.284227748681
08:10,89,244,6762,710,8097,6279.664150830332
08:11,82,223,12716,722,7227,18235.383117920952
08:12,81,107,378,937,9615,3459.444555639664
08:13,39,175,5014,892,9686,6685.2851393348465
08:14,78,196,11457,411,4953,10623.424645149767
08:15,26,225,5142,998,10821,3163.015172793175
08:16,99,179,7212,906,9719,7482.430752342498
08:17,59,105,1280,181,2144,2379.9804683577822
08:18,57,135,245,215,2953,2137.206637709246
08:19,22,239,730,444,4569,5193.536465798037
08:20,77,199,5601,524,5636,3710.3067952328165
08:21,33,194,2193,480,4928,4653.995267052734
08:22,77,137,9187,417,5064,9850.945166779975
08:23,63,136,4256,966,10343,8472.734014306749
08:24,23,152,2641,831,8344,4447.063868583219
08:25,62,91,1115,883,9343,6931.937041551091
08:26,59,92,4346,796,8241,6103.33086553109
08:27,71,236,6802,423,4256,2523.680200653895
08:28,93,150,11754,3,957,4068.1359301049024
08:29,44,250,7087,58,1250,7040.98489922123
08:30,74,177,2968,479,5047,1587.5122539134834
08:31,62,166,1711,514,5515,1216.5928366716548
08:32,64,174,1639,722,8000,2026.837074696289
08:33,53,238,9389,97,1751,4132.216833760392
08:34,80,154,5574,554,6333,6573.878534865629
08:35,31,185,1120,957,10034,4312.198033360433
08:36,63,246,7255,104,1469,2180.0658325612667
08:37,48,88,4069,736,8238,1864.9028662495084
08:38,86,150,5349,299,3097,7020.7126914560595
08:39,45,243,6805,683,7780,12333.841398359542
08:40,25,113,1060,794,8766,3025.7228116163187
08:41,44,250,10429,369,4173,10543.761346047784
08:42,47,245,9235,68,1335,5614.446334603307
08:43,56,222,4065,517,6002,4980.722270779532
08:44,81,129,7857,222,2492,7912.724504163512
08:45,90,165,2499,438,4840,2137.0497005327607
08:46,68,92,4837,300,3994,2778.8934389363494
08:47,44,207,530,160,1969,1814.1048031051537
08:48,70,104,4478,201,2741,4093.76251931956
08:49,31,126,3903,675,7461,8679.869128709819
08:50,33,120,1881,508,5144,6131.508498333886
08:51,68,199,5802,60,1050,1882.4919560495432
08:52,40,116,3894,4,523,2804.171752586113
08:53,38,101,2995,551,6226,5263.101101161869
08:54,81,211,14854,230,2871,11191.886009383703
08:55,96,196,6420,809,8318,3728.7049454289236
08:56,83,203,8814,338,4355,4427.097608494584
08:57,71,119,7636,216,3034,5930.261206814404
08:58,82,159,6984,370,4014,5169.711455776765
08:59,61,159,4159,728,7580,9834.894241269776
09:00,42,116,772,412,4602,1554.3387750173508
09:01,32,183,2494,188,2600,2429.801325128007
09:02,76,234,1281,638,6922,4573.5192181812145
09:03,22,185,585,109,1808,1209.328711278345
09:04,36,216,3194,516,6075,8231.188548050046
09:05,39,212,5062,575,6579,2391.6050432854654
09:06,88,171,2691,825,8528,3512.699296385161
09:07,61,108,1398,359,4491,1637.3416764354217
09:08,73,97,2942,286,3185,4130.512134108478
09:09,40,183,1142,588,6614,5345.49289985663
09:10,97,153,7497,66,1436,7125.719979427397
09:11,65,187,1216,179,1958,1676.4001684686768
09:12,50,133,5708,354,3875,3194.446088620807
09:13,99,185,11041,224,2701,9563.622156247284
09:14,95,213,19894,40,471,16586.535649686022
09:15,92,221,6862,769,8132,12942.579136136861
09:16,27,135,459,443,4431,3505.9345080489943
09:17,25,214,2203,516,5822,2572.2185339679622
09:18,44,91,3424,752,7965,7421.265812051847
09:19,68,152,8017,76,1685,6589.324061024069
09:20,97,135,10130,386,4166,10560.883729329465
09:21,92,169,11586,598,6421,8980.94450699059
09:22,96,155,13825,276,3139,9133.824991570385
09:23,97,236,11185,139,1990,5115.962381467829
09:24,68,222,8432,664,7278,8902.537655026594
09:25,87,147,990,622,7193,1755.4354754888495
09:26,63,217,707,367,4121,3566.7083217858913
09:27,40,213,1143,979,10187,5079.376435005273
09:28,85,148,7729,313,3411,7496.363259763501
09:29,67,93,4880,80,1233,671.8014917276416
09:30,38,222,7707,612,6756,11172.786297994466
09:31,80,93,3683,293,3035,3724.707228636304
09:32,44,234,7794,159,1900,8599.760876552422
09:33,64,218,2453,430,4573,3813.213803128995
09:34,55,201,2700,976,10398,1789.6428299663164
09:35,48,204,1444,518,5251,2487.466873361963
09:36,20,151,2015,549,5866,3006.512523117948
09:37,40,114,189,346,3843,706.4837001972114
09:38,95,152,5368,488,5295,8019.62462227538
