"time/parameter","width","height","weight","hp","strenth","powers","protection"
"0:14","74","6705.9244990295","64.5","261","530","265","130.5"
"0:28","75","7376.5169489325","65","940","532","266","470"
"0:43","76","8114.1686438257","65.5","939","534","267","469.5"
"0:57","77","8925.5855082083","66","938","536","268","469"
"1:12","78","9818.1440590291","66.5","937","538","269","468.5"
"1:26","79","10799.958464932","67","936","540","270","468"
"1:40","80","11879.954311425","67.5","935","542","271","467.5"
"1:55","81","13067.949742568","68","934","544","272","467"
"2:09","82","14374.744716825","68.5","933","546","273","466.5"
"2:24","83","15812.219188507","69","932","548","274","466"
"2:38","84","17393.441107358","69.5","931","550","275","465.5"
"2:52","85","19132.785218093","70","930","552","276","465"
"3:07","86","21046.063739903","70.5","929","554","277","464.5"
"3:21","6","23150.670113893","71","928","556","278","464"
"3:36","7","25465.737125282","71.5","927","558","279","463.5"
"3:50","8","28012.310837811","72","926","560","280","463"
"4:04","9","30813.541921592","72.5","925","562","281","462.5"
"4:19","10","33894.896113751","73","924","564","282","462"
"4:33","11","37284.385725126","73.5","923","566","283","461.5"
"4:48","12","41012.824297639","74","922","568","284","461"
"5:02","13","45114.106727402","74.5","922","570","285","461"
"5:16","14","49625.517400143","75","922","572","286","461"
"5:31","15","54588.069140157","75.5","922","574","287","461"
"5:45","16","60000","76","922","576","288","461"
"6:00","17","66000","76.5","922","578","289","461"
"6:14","18","72600","77","922","580","290","461"
"6:28","19","79860","77.5","921","582","291","460.5"
"6:43","20","87846","78","920","584","292","460"
"6:57","33","96630.6","78.5","919","586","293","459.5"
"7:12","34","106293.66","79","918","588","294","459"
"7:26","35","116923.026","79.5","917","590","295","458.5"
"7:40","36","128615.3286","80","916","592","296","458"
"7:55","37","141476.86146","80.5","915","594","297","457.5"
"8:09","38","155624.547606","81","914","596","298","457"
"8:24","39","171187.0023666","81.5","913","598","299","456.5"
"8:38","40","188305.70260326","82","900","600","300","450"
"8:52","41","207136.27286359","82.5","899","602","301","449.5"
"9:07","42","227849.90014994","83","898","604","302","449"
"9:21","43","250634.89016494","83.5","897","606","303","448.5"
"9:36","44","275698.37918143","84","896","608","304","448"
"9:50","45","303268.21709958","84.5","895","610","305","447.5"
"10:04","46","333595.03880953","85","894","66","33","447"
"10:19","47","366954.54269049","85.5","893","68","34","446.5"
"10:33","48","403649.99695954","86","892","70","35","446"
"10:48","49","30","86.5","891","72","36","445.5"
"11:02","50","33","78","890","74","37","445"
"11:16","51","36.3","78.5","889","76","38","444.5"
"11:31","52","39.93","79","888","78","39","444"
"11:45","53","43.923","79.5","887","80","40","443.5"
"12:00","54","48.3153","80","886","82","41","443"
"12:14","55","53.14683","80.5","885","84","42","442.5"
"12:28","56","58.461513","81","884","86","43","442"
"12:43","100","64.3076643","81.5","883","88","44","441.5"
"12:57","58","70.73843073","82","882","90","45","441"
"13:12","59","77.812273803","82.5","881","92","46","440.5"
"13:26","60","85.5935011833","83","880","94","47","440"
"13:40","61","94.15285130163","83.5","879","96","48","439.5"
"13:55","62","103.56813643179","84","878","98","49","439"
"14:09","63","113.92495007497","84.5","877","100","50","438.5"
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
